symptom_id,disease_id,likelihood,is_pathognomonic,onset_timing
S001,D001,0.95,false,early
S002,D001,0.80,false,mid
S017,D001,0.70,false,mid
S001,D002,0.90,false,early
S005,D002,0.85,false,early
S046,D002,0.80,false,early
S003,D003,0.85,false,gradual
S015,D003,0.90,false,gradual
S021,D003,0.40,false,late
S008,D004,0.10,false,late
S018,D004,0.30,false,gradual
S004,D005,0.95,false,chronic
S007,D005,0.90,false,chronic
S001,D006,0.98,false,early
S022,D006,0.75,false,early
S014,D006,0.40,false,late
S005,D007,0.90,false,chronic
S002,D007,0.70,false,acute
S004,D008,0.85,false,acute
S006,D008,0.90,false,acute
S007,D009,0.95,false,chronic
S022,D009,0.80,false,late
S024,D009,0.60,false,late
S009,D010,0.98,false,gradual
S018,D011,0.50,false,intermittent
S010,D011,0.65,false,gradual
S002,D012,0.95,false,chronic
S005,D012,0.70,false,chronic
S008,D013,0.85,false,acute
S004,D013,0.60,false,acute
S011,D014,0.70,false,postprandial
S013,D015,0.90,false,chronic
S033,D015,0.80,false,chronic
S005,D016,0.85,false,gradual
S001,D017,0.90,false,early
S004,D017,0.85,false,early
S031,D018,0.80,false,acute
S011,D018,0.60,false,acute
S017,D019,0.95,false,chronic
S013,D020,0.80,false,postprandial
S002,D021,0.75,false,late
S017,D021,0.80,false,early
S033,D022,0.98,false,early
S012,D022,0.70,false,early
S002,D023,0.95,false,acute
S019,D024,0.90,false,gradual
S020,D025,1.00,false,acute
S005,D028,0.80,false,chronic
S017,D028,0.60,false,gradual
S014,D029,0.85,false,late
S014,D030,0.80,false,late
S045,D031,0.70,false,early
S001,D033,0.95,false,early
S023,D033,0.50,false,late
S017,D034,0.95,false,mid
S045,D035,0.90,false,early
S007,D037,0.98,false,early
S001,D040,0.90,false,early
S010,D045,0.70,false,chronic
S009,D046,0.90,false,gradual
S004,D051,0.95,false,chronic
S005,D055,0.85,false,gradual
S016,D061,0.70,false,gradual
S014,D066,0.90,false,late
S013,D070,0.95,false,acute
S035,D072,0.95,false,chronic
S047,D083,0.40,false,acute
S018,D084,0.90,false,acute
S032,D090,0.90,false,acute
S031,D090,0.85,false,acute
S031,D091,0.70,false,acute
S013,D092,0.90,false,postprandial
S014,D094,0.80,false,late
S020,D095,0.90,true,late
S039,D095,0.85,false,late